Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,184471.63,140102.96,2268500.00,1187,0,1261,0,779,0,430,0,31,0.7698383541491867,4884
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,4578232.80,881270.03,10075750.00,14800,0,14226,0,7807,0,3908,0,240,0.8069588490017152,41736
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2859932.98,1841607.43,19732250.00,28252,0,9483,0,48654,0,6888,0,528,0.8097717962993338,83244
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,667293.20,963436.57,130993500.00,13863,2447,0,6943,14084,764,7693,359,313,0.9259465818507872,77712
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,1276830.13,1364069.83,158481000.00,17830,0,7051,0,16080,0,8475,0,313,0.9375681886676148,88596
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,787654.44,970340.00,157515700.00,15488,2605,0,7368,15690,870,7616,365,304,0.9188517635868696,83496
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,802548.03,752830.00,146802000.00,13266,2175,0,5894,14320,887,6946,330,292,0.9171449488700989,74112
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,897218.54,753840.00,164881500.00,14088,2387,0,5604,13514,847,6861,352,297,0.9049623014417408,79260
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,548967.32,277915.00,164117800.00,6402,8452,0,6075,2899,10339,6529,452,291,0.9213665132046209,75300
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,7504989.75,0.00,0,9734,0,3801,0,8200,0,3941,99,1.1023584111581488,38940
